sl No,item_code,item_description
608,26,"Flooring with a bed of CC 1:5:10  (one of cement, five of sand and ten of hard broken stone jelly) using 40mm size hard broken stone jelly and top  left rough to receive the floor finish with required slopes including ramming, curing etc.,  all complete complying with relevant standard specifications."
609,27.1,"Brick work in CM 1:4 (one of cement and four of sand) using chamber burnt bricks 9”x4-3/8”x2-3/4” (23x11.2x7cm) for stair case steps including proper setting, scaffolding, curing etc., complete in all respects in all floors."
610,27.2,"Brick work in CM 1:4 (one of cement and four of sand) using chamber burnt bricks 9”x4-1/2”x3” (23x11.4x7.5cm) for stair case steps including proper setting , scaffolding, curing etc., complete in all respects in all floors."
611,27.2.2,"Brick work in CM 1:4 in Super structure (one of cement and four of sand) using chamber burnt bricks 9”x4-1/2”x3” (23x11.4x7.5cm) for Over Head Tank including proper setting, scaffolding, curing etc., complete in all respects in all floors."
612,27.2.2.c,c) Second Floor
613,27.2.3,"Brick work in cm 1:4 (one of cement and four of sand) using chamber burnt bricks 9”x4-1/2”x3” (23x11.4x7.5cm) for Inspection chamber including proper setting , curing etc., complete in all respects "
614,27.3,"Brick work in CM 1:4 (one of cement and four of sand) using chamber burnt bricks 9”x4¼”x2¾” (23x11x7cm) for stair case steps including proper setting , scaffolding, curing etc., complete in all respects in all floors."
615,27.4,"Brick work in CM 1:4 (one of cement and four of sand) using chamber burnt bricks 8 ¾”x4¼”x2¾” (22x11x7cm) for stair case steps including proper setting, scaffolding, curing etc., complete in all respects in all floors."
616,27.5,"Brick work in CM 1:4 (one of cement and four of sand) using kiln burnt country bricks 8¾”x4¼”x2¾” (22x11x7cm) for stair case steps including proper setting, scaffolding, curing etc., complete in all respects in all floors."
617,27.6,"Brick work in CM 1:4 (one of cement and four of sand) using kiln burnt country bricks 8¾”x4¼”x2¼” (22x11x5.7cm) for stair case steps including proper setting, scaffolding, curing etc., complete in all respects in all floors."
618,28,"Plastering the top of flooring in CM 1:4 (One of cement and four of sand) 20mm thick including surface rendered smooth including providing proper slopes, thread lining, curing and 150mm wide skirting alround with the same cement mortar etc., complete in all respects."
619,29.1.,"Providing Hydraulic pressed cement Mosaic Tiles             (Grey colour) of size 20cmx20cmx20mm graded chips other than salem magnestie of not more than 6mm of best Indian Marble chips in cement mortar 1:3 (oneof cement and three of sand) 20mm thick and pointed with coloured cement neatly including polishing etc., complete"
620,29.1.2,"Polishing the existing Mosaic flooring with polishing machine including washing the floor , polishing medium and nice and wax coat , labour for washing, polishing , cost of wax etc. complete. The brand of wax should be got approved from the Executive Engineer before use."
621,29.1.3,"Providing nice polishing the existing marble wall cladding with hand buffing machine, including the cost of charges for hand buffing machine,nice stones labour for buffing and washing the wall cladding etc., all complete as directed by the departmental officers."
622,29.1.4,"Supplying and  fixing of Glass Mosaic tiles of Size 2x2cm (Best approved quality and the same shall be got approved from the Executive Engineer before using) of thickness 4mm pearl glass mosaic of ordinary colours fixed in the sheet of dimension 327x327mm consisting of 225 pieces of approved randam mix colours. The tiles shall be fixed over the existing smooth plastered surface using polymer adhesives and grouted with polymer grout. The tile surface will be acid washed. The polymer adhesive and polymer grout  wherever necessary, pointing the joints with grout (Tile joint filler), curing, finishing cutting the tiles to the required size, inclusive of all materials, scaffolding, laying charges & finishing etc., all complete and as directed by the departmental officers. (The brand and quality of tiles should be got approved from EE before use )."
623,29.1.5,"Supplying and  fixing of Glass Mosaic tiles of Size 20mm x20mm x4mm on finished plain wall surfaces (Best approved quality and the same shall be got approved from the Executive Engineer before using) over cement plastering in CM 1:2 (One of cement and two of sand) 10mm thick including fixing in position, cutting the tiles to the required size wherever necessary, pointing the joints with coloured cement, curing, finishing etc., all complete and as directed by the departmental officers. (The brand and quality of tiles should be got approved from EE before use )."
624,29.1.6,"Supplying and  fixing of Glass Mosaic tiles of Size 20mm x20mm x4mm on finished plain floor (Best approved quality and the same shall be got approved from the Executive Engineer before using) over cement plastering in CM 1:3 (One of cement and three of sand) 20mm thick including fixing in position, cutting the tiles to the required size wherever necessary, pointing the joints with coloured cement, curing, finishing etc., all complete and as directed by the departmental officers. (The brand and quality of tiles should be got approved from EE before use )."
625,29.2,"Providing Hydraulic pressed cement Mosaic Tiles (Grey colour ) of size 25cm x 25cm x20mm using graded chips other than salem magnesite of not more than 6 mm of best Indian marble chips in cement mortar 1:3 (One of cement and three of sand) 20mm thick and pointed with coloured cement neatly including polishing etc., complete."
626,29.3,"Supplying and fixing of colour Ceramic Tiles for flooring and other similar works (Best approved quality, colour and shade shall be got approved from the Executive Engineer before using) over cement mortor 1:3 (One of cement and three of sand) 20mm thick including fixing in position, cutting the tiles to the required size wherever necessary pointing the joints with white cement, curing, finishing etc., all complete and as directed by the departmental officers"
627,29.4,"Supplying and fixing of Colour glazed tiles (Best approved quality and the same shall be got approved from the Executive Engineer before using) over cement plastering in CM 1:2 (One of cement and two of sand) 10mm thick including fixing in position, cutting the tiles to the required size wherever necessary, pointing the joints with coloured cement, curing, finishing etc., all complete and as directed by the departmental officers."
628,29.5,"Supplying and fixing of colour Ceramic Tiles Anti skid without corrugated design for flooring and other similar works (Best approved quality, colour and shade shall be got approved from the Executive Engineer before using) over cement mortor 1:3 (One of cement and three of sand) 20mm thick including fixing in position, cutting the tiles to the required size wherever necessary, pointing the joints with white cement, curing, finishing etc., all complete and as directed by the departmental officers"
629,29.6,"Supplying and fixing of ACID PROOF CERAMIC TILES (best approved quality and the same shall be got approved from the Executive Engineer before using) over cement mortar 1:3 (One of cement  and three of sand) 20mm thick including fixing in position, cuting the tiles to the required size wherever necesary pointing the joints with white cement, curing, finising etc., all complete and as directed by the departmental officers. "
630,29.6.1,"Supplying and fixing of Acid Proof Ceramic Tiles (best approved quality and the same shall be got approved from the Executive Engineer before using) over cement mortar 1:3 (One of cement  and three of sand) 20mm thick including fixing in position, cuting the tiles to the required size wherever necesary pointing the joints with Grout (Tile joint filler), curing, finising etc., all complete and as directed by the departmental officers.  "
631,29.8,"Supplying and fixing of Colour glazed tiles (Best approved quality and the same shall be got approved from the Executive Engineer before using) over cement plastering in CM 1:2 (One of cement and two of sand) 10mm thick including fixing in position, cutting the tiles to the required size wherever necessary, pointing the joints with Grout (Tile joint filler), curing, finishing etc., all complete and as directed by the departmental officers."
